t,银行业,证券业,保险业,多元金融,房地产
2007w1,0.009696,0.188441,-0.005684,0.036027,0.207555
2007w2,0.00532,0.068955,0.014031,0.075862,0.042108
2007w3,0.012746,0.040899,0.012882,0.088708,0.013283
2007w4,0.03862,0.032223,0.023609,0.160251,0.000555
2007w5,0.0119,0.057181,0.01924,0.029796,-0.055802
2007w6,-0.02927,0.01217,0.002274,0.009166,-0.054249
2007w7,0.040746,0.062676,0.020923,0.140532,0.133853
2007w10,0.001108,0.011613,-0.01913,0.0306,0.089111
2007w11,-0.000653,0.024978,0.021016,0.108019,0.034582
2007w12,0.024622,-0.001296,0.022123,0.063523,0.058544
2007w13,0.017322,0.167129,0.026764,0.031173,0.012606
2007w14,0.02457,0.917387,0.045995,-0.003866,0.162402
2007w15,0.021389,0.038603,0.08985,0.084451,0.060865
2007w16,0.002366,0.027144,0.016162,0.089813,0.02933
2007w17,0.016641,0.091176,0.045285,0.099772,0.039091
2007w18,-0.0006,0.0556,0.052091,0.089802,0.009674
2007w19,0.031038,0.007267,0.03999,0.045445,0.099865
2007w20,-0.009762,-0.009992,0.000203,-0.031688,0.039634
2007w21,-0.006133,0.036854,0.020439,0.05978,0.119422
2007w22,0.006256,-0.022993,0.000641,-0.040286,0.072483
2007w23,-0.031068,-0.051757,-0.099784,-0.172513,-0.082908
2007w24,0.021916,0.052501,0.074321,0.130545,0.075828
2007w25,0.028507,0.010556,0.050606,0.075615,0.039833
2007w26,0.003007,-0.068303,-0.036176,-0.121354,-0.072998
2007w27,-0.009364,0.138542,-0.090763,-0.113866,-0.122276
2007w28,0.029914,0.199436,0.059661,0.038852,0.092029
2007w29,0.017905,-0.008317,0.039188,-0.012595,0.054107
2007w30,0.081635,0.065774,0.047786,0.125497,0.132519
2007w31,0.017073,0.033716,0.022224,0.037694,0.078478
2007w32,0.046823,0.023577,0.036333,0.001577,0.080575
2007w33,0.017611,-0.00603,-0.006542,0.010325,-0.027588
2007w34,0.033405,0.041535,0.019963,0.079282,0.076071
2007w35,0.020032,0.002954,0.060051,0.047841,0.030379
2007w36,-0.004039,-0.002647,0.013599,0.053676,0.002657
2007w37,-0.017816,-0.005667,-0.026463,-0.01432,-0.033509
2007w38,-0.009282,0.026957,0.045571,0.00402,0.047146
2007w39,-0.01809,-0.006584,0.044673,-0.008601,-0.017259
2007w42,0.001345,0.035848,-0.001721,-0.003902,-0.077631
2007w43,-0.019281,-0.022491,-0.00613,-0.069805,0.008785
2007w44,0.056686,0.018788,0.005531,-0.003614,0.088353
2007w45,-0.033042,-0.021455,-0.05318,-0.021429,-0.023046
2007w46,-0.034215,-0.017933,-0.025118,-0.030213,-0.015167
2007w47,-0.030812,0.016119,-0.031629,0.022957,-0.064666
2007w48,-0.009269,-0.00487,-0.051213,-0.046736,-0.065129
2007w49,0.039757,0.03095,0.064256,0.009061,0.069519
2007w50,-0.021863,0.018337,0.004861,0.0367,-0.039694
2007w51,-0.026371,-0.011814,-0.016818,-0.001687,-0.071416
2007w52,0.033642,0.240082,0.024752,0.070311,0.043728
2008w1,0.015711,0.092692,0.014847,0.021941,0.110837
2008w2,0.044997,0.025163,0.03483,0.033144,0.040075
2008w3,-0.006555,-0.00615,-0.003872,0.007876,-0.034554
2008w4,-0.097558,-0.08842,-0.125046,-0.073734,-0.123966
2008w5,-0.061749,-0.050421,-0.102613,-0.067733,0.043154
2008w6,0.061619,0.071848,0.054915,0.026378,0.067163
2008w7,-0.033757,0.013572,-0.039789,-0.002634,0.014474
2008w8,-0.020544,0.001279,0.007324,0.022787,0.011568
2008w9,-0.035774,-0.048308,-0.041103,-0.032773,-0.073684
2008w10,-0.003208,0.013774,0.034402,0.024992,0.019493
2008w11,-0.071877,-0.049495,-0.067698,-0.052718,-0.075025
2008w12,-0.042358,-0.068696,-0.088035,-0.117681,-0.027047
2008w13,-0.015188,-0.03116,-0.086207,-0.006241,0.029285
2008w14,0.036196,-0.002855,0.09333,-0.232087,-0.027446
2008w15,0.018793,0.072443,0.047898,0.035699,0.008908
2008w16,-0.086282,-0.024112,-0.095646,-0.051205,-0.160115
2008w17,0.060082,0.061282,0.045458,0.040303,-0.045939
2008w18,0.059485,0.135088,0.111292,0.089684,0.079724
2008w19,-0.015625,0.037855,0.001377,0.009247,0.060494
2008w20,-0.023882,-0.004516,-0.030199,-0.005201,-0.030711
2008w21,-0.037594,-0.034419,-0.061788,-0.047483,-0.06644
2008w22,-0.029056,-0.034537,-0.036005,-0.022517,-0.045468
2008w23,-0.003157,0.032047,0.018097,-0.012128,0.002089
2008w24,-0.115048,-0.037843,-0.13247,-0.113776,-0.139525
2008w25,-0.016198,-0.080845,-0.03646,-0.090245,-0.069061
2008w26,0.009216,0.023044,0.024852,-0.020446,0.008902
2008w27,-0.081442,-0.137266,-0.01302,-0.082461,0.049142
2008w28,0.077234,0.041598,0.045981,0.126758,0.155203
2008w29,-0.038766,-0.031112,-0.040422,0.020135,-0.075796
2008w30,0.026473,0.026975,0.069321,0.0286,0.056131
2008w31,0.002949,-0.019325,-0.023672,-0.006781,4.9e-05
2008w32,-0.020042,-0.035725,-0.035107,-0.023782,-0.086567
2008w33,-0.073725,-0.106333,-0.099634,-0.118797,-0.090504
2008w34,-0.005415,-0.002653,-0.015662,-0.096315,-0.001269
2008w35,0.007812,0.001122,0.017828,-0.016494,-0.04101
2008w36,-0.049161,-0.013446,-0.034249,-0.030381,-0.030973
2008w37,-0.062547,-0.004669,-0.069249,-0.065159,-0.123272
2008w38,-0.123096,-0.034049,-0.139267,-0.056153,-0.041664
2008w39,0.118617,0.122123,0.112502,0.084739,0.097024
2008w42,0.005965,-0.065511,-0.085777,-0.097235,-0.027474
2008w43,-0.014534,0.004262,-0.046939,-0.010417,0.000113
2008w44,-0.079096,-0.042624,-0.079923,-0.081315,-0.117571
2008w45,0.030538,-0.076785,0.037598,-0.068071,-0.045759
2008w46,0.095242,0.051036,0.088293,0.100995,0.129541
2008w47,0.019315,0.012935,0.01823,0.078045,0.140713
2008w48,-0.064394,-0.057121,-0.076883,-0.051483,-0.003618
2008w49,0.008666,0.018242,0.024531,0.055189,0.066545
2008w50,0.064793,0.037076,0.079949,0.086803,0.050138
2008w51,-0.027428,-0.018064,0.00224,0.019141,-0.008267
2008w52,-0.032916,-0.043664,-0.048514,-0.061117,-0.089106
2009w1,0.031708,0.016048,-0.01905,-0.261897,-0.044299
2009w2,0.023863,0.029358,0.07902,0.042111,0.05949
2009w3,0.012733,0.025222,0.036538,0.037528,0.008685
2009w4,0.065735,0.046553,0.056468,0.045616,0.035861
2009w7,0.045771,0.069502,0.071076,0.145038,0.138295
2009w8,0.00412,0.00964,-0.000837,0.03422,-0.016147
2009w9,-0.020171,-0.041963,-0.047815,-0.019813,-0.02063
2009w10,0.017846,-0.016896,-0.02966,-0.026024,0.009943
2009w11,-0.000158,-0.005077,0.015842,-0.020966,0.004896
2009w12,0.034167,0.029651,0.053813,0.065948,0.075115
2009w13,0.031477,0.029402,0.050271,0.030996,0.056119
2009w14,0.102408,0.013582,0.055074,-0.002023,0.045547
2009w15,0.001667,-0.010411,0.021826,-0.016968,-0.001963
2009w16,0.016019,0.036285,0.050902,0.046199,0.043512
